A young man married is a man that's marred. | William Shakespeare, *All's Well That Ends Well* 
Praising what is lost Makes the remembrance dear. | William Shakespeare, *All's Well That Ends Well*
My friends were poor but honest. | William Shakespeare, *All's Well That Ends Well*

In nature's infinite book of secrecy A little I can read. | William Shakespeare, *Antony and Cleopatra*
You shall be yet fairer than you are. | William Shakespeare, *Antony and Cleopatra*
O excellent! I love long life better than figs. | William Shakespeare, *Antony and Cleopatra*
In time we hate that which we often fear. | William Shakespeare, *Antony and Cleopatra*
Eternity was in our lips and eyes, Bliss in our brows bent. | William Shakespeare, *Antony and Cleopatra*
My salad days, When I was green in judgement. | William Shakespeare, *Antony and Cleopatra*
No worse a husband than the best of men. | William Shakespeare, *Antony and Cleopatra*
I will praise any man that will praise me. | William Shakespeare, *Antony and Cleopatra*
We have kiss'd away Kingdoms and provinces. | William Shakespeare, *Antony and Cleopatra*
O sovereign mistress of true melancholy. | William Shakespeare, *Antony and Cleopatra*
All strange and terrible events are welcome, But comforts we despise. | William Shakespeare, *Antony and Cleopatra*
Sweep on, you fat and greasy citizens! | William Shakespeare, *Antony and Cleopatra*

As true a lover As ever sigh'd upon a midnight pillow. | William Shakespeare, *As You Like It*
Thou speakest wiser than thou art ware of. | William Shakespeare, *As You Like It*
We that are true lovers run into strange capers. | William Shakespeare, *As You Like It*
All the world's a stage, And all the men and women merely players... | William Shakespeare, *As You Like It*
I am not a slut, though I thank the gods I am foul. | William Shakespeare, *As You Like It*
Oh how bitter a thing it is to look into happiness through another man's eyes. | William Shakespeare, *As You Like It*
If it be true that 'good wine needs no bush', 'tis true that a good play needs no epilogue. | William Shakespeare, *As You Like It* (epilogue)

A little more than kin, and less than kind. | William Shakespeare, *Hamlet*
My father's brother, but no more like my father Than I to Hercules. | William Shakespeare, *Hamlet*
Something is rotten in the state of Denmark. | William Shakespeare, *Hamlet*
That one may smile, and smile, and bee a villain; At least I'm sure it may be so in Denmark. | William Shakespeare, *Hamlet*
Do you know me my lord? Excellent well; you are a fishmonger. | William Shakespeare, *Hamlet*
What do you read my lord? Words, words, words. | William Shakespeare, *Hamlet*
Though this be madness, yet there is method in it. | William Shakespeare, *Hamlet*
There is nothing either good or bad, but thinking makes it so. | William Shakespeare, *Hamlet*
I could be bounded in a nutshell and count myself a king of infinite space, were it not that I have bad dreams. | William Shakespeare, *Hamlet*
The play's the thing Wherein I'll catch the conscience of the king. | William Shakespeare, *Hamlet*
To be or not to be: that is the question... | William Shakespeare, *Hamlet*
To sleep: perchance to dream: ay, there's the rub; For in that sleep of death what dreams may come... | William Shakespeare, *Hamlet*
Thus conscience doth make cowards of us all... | William Shakespeare, *Hamlet*
The lady doth protest too much, methinks. | William Shakespeare, *Hamlet*
O my offence is rank, it smells to heaven. | William Shakespeare, *Hamlet*
A bloody deed! Almost as bad, good mother, As kill a king, and marry with his brother. | William Shakespeare, *Hamlet*
When sorrows come, they come not single spies, But in battalions. | William Shakespeare, *Hamlet*
Alas! Poor Yorick. I knew him, Horatio; a fellow of infinite jest... | William Shakespeare, *Hamlet*
The rest is silence. | William Shakespeare, *Hamlet*
Now cracks a noble heart. Goodnight, sweet prince, And flights of angels sing thee to thy rest! | William Shakespeare, *Hamlet*

I see no reason why thou shoudst be so superfluous to demand the time of the day. | William Shakespeare *King Henry IV Part I*
O thou hast damnable iteration, and art, indeed, able to corrupt a saint. | William Shakespeare *King Henry IV Part I*
Constant you are, But yet a woman... | William Shakespeare *King Henry IV Part I*
There live not three good men unhanged in England, and one of them is fat and grows old. | William Shakespeare *King Henry IV Part I*
Now I perceive the devil understands Welsh. | William Shakespeare *King Henry IV Part I*
I have more flesh than another man, and therefore more frailty. | William Shakespeare *King Henry IV Part I*
I am as vigilant as a cat to steal cream. | William Shakespeare *King Henry IV Part I*
When that his body did contain a spirit, A kingdom for it was too small a bound... | William Shakespeare *King Henry IV Part I*

He hath eaten me out of house and home. | William Shakespeare *King Henry IV Part II*
Uneasy lies the head that wears a crown. | William Shakespeare *King Henry IV Part II*
A man cannor make him laugh; but that's no marvel; he drinks no wine. | William Shakespeare *King Henry IV Part II*

Trust none; For oaths are straws, men's faiths are wafer-cakes... | William Shakespeare *King Henry V*
Once more unto the breach, dear friends, once more... | William Shakespeare *King Henry V*
I would give all my fame for a pot of ale, and safety. | William Shakespeare *King Henry V*
Men of few words are the best men. | William Shakespeare *King Henry V*
I think the king is but a man, as I am: the violet smells to him as it doth to me. | William Shakespeare *King Henry V*
But if it be a sin to covet honour I am the most offending soul alive. | William Shakespeare *King Henry V*
We few, we happy few, we band of brothers... | William Shakespeare *King Henry V*
Thou damned and luxurious mountain goat. | William Shakespeare *King Henry V*

Unbidden guests Are often welcomest when they are gone. | William Shakespeare *King Henry VI Part I*

Could I come near your beauty with my nails I'd set my ten commandments in your face | William Shakespeare *King Henry VI Part II*
The first thing we do, let's kill all the lawyers. | William Shakespeare *King Henry VI Part II*

Live how we can, yet die we must. | William Shakespeare *King Henry VI Part III*
Down, down to hell; and say I sent thee thither. | William Shakespeare *King Henry VI Part III*

If I chance to talk a little wild, forgive me; I had it from my father | William Shakespeare *King Henry VIII*
Love theyself last: cherish those hearts that hate thee... | William Shakespeare *King Henry VIII*
His promises were, as he then was, mighty; But his performance, as he is now, nothing. | William Shakespeare *King Henry VIII*

Life is as tedious as a twice-told tale, Vexing the dull ear of a drowsy man. | William Shakespeare *King John*

The fault, dear Brutus, is not in our stars, But in ourselves, that we are underlings. | William Shakespeare *Julius Caeser*
For mine own part, it was Greek to me. | William Shakespeare *Julius Caeser*
Let's carve him as a dish fit for the gods, Not hew him as a carcass fit for hounds. | William Shakespeare *Julius Caeser*
Cowards die many times before their deaths; The valiant never taste of death but once. | William Shakespeare *Julius Caeser*
O mighty Caeser! Dost thou lie so low? Are all they conquests, glories, triumphs, spoils, Shrunk to this little measure. | William Shakespeare *Julius Caeser*
Cry 'Havoc!' and let slip the dogs of war. | William Shakespeare *Julius Caeser*
As he was valiant, I honour him: but as he was ambitious, I slew him. | William Shakespeare *Julius Caeser*
Not that I loved Caesar less, but that I loved Rome more. | William Shakespeare *Julius Caeser*
Friends, Romans, countrymen, lend me your ears; I come to bury Caesar not to praise him. | William Shakespeare *Julius Caeser*
When that the poor have cried, Caesar hath wept; Ambition should be made of sterner stuff. | William Shakespeare *Julius Caeser*
O judgement! Thou art fled to brutish beasts, And men have lost their reason. | William Shakespeare *Julius Caeser*

Have more than thou showest, Speak less than thou knowest, Lend less than thou owest. | William Shakespeare *King Lear*
How sharper than a serpent's tooth it is To have a thankless child! | William Shakespeare *King Lear*
The prince of darkness is a gentlemen. | William Shakespeare *King Lear*
Things that love night Love not such nights as these. | William Shakespeare *King Lear*
As flies to wanton boys, are we to the gods; They kill us for their sport. | William Shakespeare *King Lear*
You are not worth the dust which the rude wind blows in your face. | William Shakespeare *King Lear*
Upon such sacrifices my Cordelia, The gods themselves throw incense. | William Shakespeare *King Lear*
The wheel is come full circle. | William Shakespeare *King Lear*
Speak what we feel; not what we ought to say. | William Shakespeare *King Lear*

By heaven, I do love, and it hath taught me to rhyme, and to be melancholy. | William Shakespeare *Love's Labour's Lost*

When shall we three meet again In thunder, lightning, or in rain? | William Shakespeare *Macbeth*
Fair is foul, and foul is fair: Hover through the fog and filthy air. | William Shakespeare *Macbeth*
You should be women, And yet your beards forbid me to interpret That you are so. | William Shakespeare *Macbeth*
What! Can the devil speak true? | William Shakespeare *Macbeth*
Look like the innocent flower, But be the serpent under it. | William Shakespeare *Macbeth*
If we should fail- We fail! But screw your courage to the sticking place, And we'll not fail. | William Shakespeare *Macbeth*
Is this a dagger which I see before me, The handle toward my hand? | William Shakespeare *Macbeth*
I have done the deed. Didst thou not hear a noise? | William Shakespeare *Macbeth*
Methought I heard a voice cry, 'Sleep no more! Macbeth does murder sleep.' | William Shakespeare *Macbeth*
Will all great Neptune's ocean wash this blood Clean from my hand? | William Shakespeare *Macbeth*
There's daggers in men's smiles. | William Shakespeare *Macbeth*
Double, double toil and trouble; Fire burn, and cauldron bubble. | William Shakespeare *Macbeth*
By the pricking of my thumbs, Something wicked this way comes. | William Shakespeare *Macbeth*
Out, damned spot! Out I say! | William Shakespeare *Macbeth*
Yet who would have thought the old man to have had so much blood in him? | William Shakespeare *Macbeth*
All the perfumes of Arabia will not sweeten this little hand. | William Shakespeare *Macbeth*
All that is within him does condemn itself for being there. | William Shakespeare *Macbeth*
She should have died hereafter; There would have been time for such a word. | William Shakespeare *Macbeth*
Out, out brief candle! Life's but a walking shadow... | William Shakespeare *Macbeth*
...it is a tale Told by an idiot, full of sound and fury, Signifying nothing. | William Shakespeare *Macbeth*
Macduff was from his mother's womb Untimely ripped. | William Shakespeare *Macbeth*
Lay on Macduff; And damn'd be him that first cries, 'Hold Enough!' | William Shakespeare *Macbeth*

They say most men are moulded out of faults, And, for the most, become much more the better For being a little bad. | William Shakespeare *Measure for Measure*

By the pricking of my thumbs, something wicked this way comes. | William Shakespeare, *Macbeth*
It is a tale told by an idiot, full of sound and fury, signifying nothing. | William Shakespeare, *Macbeth*
Life's but a walking shadow, a poor player, that struts and frets his hour upon the stage, and then is heard no more. | William Shakespeare, *Macbeth*
Look like the innocent flower, but be the serpent under it. | William Shakespeare, *Macbeth*

One may smile, and smile, and be a villain; at least I'm sure it may be so in Denmark. | William Shakespeare, *Hamlet*
Something is rotten in the state of Denmark. | William Shakespeare, *Hamlet*
I could be bounded in a nutshell, and count myself a king of infinite space, were it not that I have bad dreams. | William Shakespeare, *Hamlet*
Alas, poor Yorick! I knew him, Horatio: a fellow of infinite jest, of most excellent fancy... | William Shakespeare, *Hamlet*
The lady doth protest too much, methinks | William Shakespeare, *Hamlet*

These violent delights have violent ends | William Shakespeare, *Romeo and Juliet*
Good night, good night! parting is such sweet sorrow, That I shall say good night till it be morrow. | William Shakespeare, *Romeo and Juliet*
Love goes toward love as schoolboys from their books, But love from love, toward school with heavy looks. | William Shakespeare, *Romeo and Juliet*
What's in a name? that which we call a rose by any other name would smell as sweet. | William Shakespeare, *Romeo and Juliet*
Two households, both alike in dignity, In fair Verona, where we lay our scene... | William Shakespeare, *Romeo and Juliet*
How art thou out of breath when thou hast breath to say to me that thou art out of breath? | William Shakespeare, *Romeo and Juliet*


